Group,Model,PV,AR,SR,Sortino,MDD,Calmar
6assets,SB,1.5173,0.2318,0.8559,1.7287,-0.2215,1.0465
6assets,SBA,1.5153,0.231,0.8938,1.7445,-0.2111,1.0942
6assets,SBC,1.5143,0.2306,0.8948,1.746,-0.2102,1.0972
6assets,SBCA,1.5154,0.231,0.8945,1.7459,-0.211,1.0952
