SB,SBA,SBC,SBCA
1.0,1.0,1.0,1.0
0.9995830164372879,0.9996813662647531,0.9995910872088465,0.9996760067078956
1.0023409776659196,1.0025273407175903,1.0022969864063072,1.0025207245748582
1.03452049181581,1.0349916539362212,1.0343938684841398,1.0349988945663626
1.0399456904055897,1.0405259919739878,1.0397345210886921,1.0405305645101512
1.0466689569680456,1.047160239857676,1.0465538801957615,1.0471624395041315
1.0432705751884304,1.0438328465501194,1.043039098474617,1.043838097447223
1.0527759436579622,1.0534185131758047,1.0524337443689775,1.0534315098422313
1.049175188118173,1.0498270839614599,1.0488397166609573,1.0498390808326628
1.0541918567093884,1.0549225560579176,1.0536963669089423,1.0549341922104132
1.0457001869104672,1.046422567255821,1.0452751115198766,1.0464252164738685
1.0533630782645131,1.0541787860317853,1.0531199715423674,1.0541673551314277
1.0513271007247285,1.0521157449286094,1.0511348198246562,1.0520974711495168
1.0488611672446628,1.049597506321831,1.048704524035628,1.0495837894654227
1.0487198595686598,1.0494589343827123,1.0485642400038901,1.0494454119127108
1.0400228741816149,1.0407505179330578,1.039952742469514,1.0407235092396674
1.0360504424068022,1.0367199608181894,1.0360388348486071,1.0366993288387778
1.0103180894284454,1.0109444333143203,1.0103714104528763,1.0109185261836404
1.0203185896406635,1.0209269335068516,1.0204004007786118,1.020907983787229
1.009905302618639,1.0105521880994175,1.0099681420903674,1.0105307342321763
1.01563803944675,1.0162725630703255,1.0156834097384146,1.016257018103252
1.0295092048856265,1.0302253900817178,1.0295080975002122,1.0302073518041734
1.0393439951937802,1.0400285765353572,1.0392586227649607,1.04002363278071
1.048054712057091,1.0487887044672057,1.0479556293558685,1.048779785390993
1.0638312313810812,1.064585927980754,1.0638128768914368,1.0645681763326207
1.071272538504789,1.072063873366048,1.0712181551671742,1.072046578281307
1.0658492215966167,1.0666188716289378,1.065769212667299,1.066607338183139
1.068630450023068,1.0694330631453792,1.0685192315683543,1.0694222864958673
1.0692817379859756,1.070013156377939,1.0692236493816905,1.0700037948344294
1.0747784946528811,1.075506462041541,1.0746993488389163,1.0754975864403622
1.0690459248655622,1.069830076231778,1.0688208261033085,1.0698298983574306
1.0701822997902168,1.0709921289100925,1.069948337344119,1.0709907850094504
1.0812913773872856,1.0821147159539748,1.0811525498899595,1.0821228921982393
1.09613961861216,1.0971130406216074,1.0958407975240756,1.0971360460037838
1.1059841276064244,1.1069877724202322,1.105663194005674,1.107027463801044
1.108325685487581,1.109374921336858,1.1079540852078356,1.1094198140469809
1.1219795933892271,1.1231257349312072,1.1214407109063778,1.123171292189255
1.1126306495369374,1.1137664733360686,1.1120550968097782,1.1138164122190821
1.090821934786583,1.0919342319495,1.0902511259391423,1.0919744251319319
1.1096993181255723,1.1108326244160758,1.1090364183793235,1.1108788735859947
1.1067176526741795,1.1078256028806908,1.1060650396517422,1.107863913220399
1.1089472512302736,1.110083208304285,1.1082471657137856,1.1101205907294254
1.1027228300888365,1.1038408217839586,1.1021116928660883,1.1038702339774886
1.1107273901488475,1.1118169678398448,1.1101047745353507,1.1118596387887583
1.1249376648427425,1.1260829013408025,1.1242129865660229,1.1261204016490645
1.1158616192018054,1.1169763773068977,1.1152110243234543,1.1170066192649022
1.1299580770471314,1.1311643909613793,1.1294185375927759,1.131197255320868
1.1271539014821372,1.1283854625722518,1.1265317848526506,1.128427475249377
1.1297354879716393,1.1310361403188538,1.128994473511732,1.131077433289165
1.1453606045292741,1.146600377834189,1.1444974530078447,1.1466636891597877
1.1428769679063702,1.1440721463017522,1.1420670575214027,1.1441364029852945
1.149252778773549,1.1504785570594396,1.1483758745101338,1.1505478852229447
1.148982445502517,1.1502343917884712,1.148049619707856,1.1502937319239597
1.147218865439344,1.1484585276440074,1.146360010502734,1.1485182053025305
1.144934895083747,1.14616461890561,1.1442551707780508,1.1462101366937503
1.1407993077635832,1.1419712363984509,1.1402336818195482,1.1420172381548244
1.1269626021106773,1.1280944771670558,1.1264535473537152,1.1281378643874758
1.1343146431660478,1.1354548514762735,1.1338181463755703,1.1355043847595743
1.1371168600133612,1.138285547263938,1.136713905360608,1.138328901343695
1.157497929364384,1.1585722335696134,1.1572181626940499,1.1586201783201258
1.1628392835495602,1.1639918215774103,1.1624136995079732,1.1640433786291968
1.1492369840189178,1.1503335526710532,1.1488254325163416,1.150392485155185
1.1567349301847076,1.1578576158433291,1.1562917045357217,1.1579084868841534
1.1551691342435706,1.1562349045203852,1.1547979697186521,1.1562878209159324
1.1565511998981404,1.1576622614167287,1.1562402590400962,1.157709319443625
1.1530886559465665,1.154183630823113,1.1527839965675806,1.1542339927607896
1.153697281349122,1.154822334600836,1.153329681477792,1.1548757828017036
1.153835523716981,1.1549606160787835,1.153468079048178,1.1550144932521391
1.1546062383096052,1.1557363901499211,1.1542420897640084,1.1557923994953585
1.1506246563614593,1.1517338129131336,1.1502609723200259,1.1517873855217766
1.1611314008518594,1.1622966446987264,1.1606990727403697,1.1623517661583807
1.1672728917843405,1.168454276482931,1.1668398559616804,1.168507971238152
1.1724429256175297,1.1736156906388973,1.1719957191333834,1.1736688117423903
1.1755053368871233,1.176671902561799,1.1750820307654684,1.1767240442714328
1.1687480299570325,1.1698989211006516,1.1685372447396603,1.1699538322721545
1.1759969858978212,1.1771574919145706,1.1757905380186784,1.1772095668316565
1.1616522544250025,1.1627746819114078,1.1614969049761474,1.162826403845949
1.1692041069255885,1.170405297950915,1.1689823968265027,1.1704569864805134
1.168915835071598,1.1701856922630949,1.1685954090112118,1.1702360307706525
1.1662836992626948,1.1675507962101705,1.165887344880731,1.167604927663833
1.170888174893268,1.1721626052645902,1.1704277054092325,1.1722236740980183
1.1660915404063363,1.1674329422672383,1.1656366076483409,1.167489594939019
1.163681454219778,1.1649486753179747,1.1632554281015859,1.1650075573556196
1.1785206165992184,1.1798425893648212,1.1782025926953197,1.1798888266854262
1.175677737361404,1.1770151751454354,1.175330783675863,1.177062315526725
1.1985364929944828,1.1999814423785362,1.1980853330283878,1.2000433880744943
1.2067376851988834,1.20818093886802,1.2062115592159655,1.2082406231136493
1.215907902817558,1.217372777192092,1.2153055525926788,1.217439188142558
1.2225120231753646,1.2239690247187038,1.2219562876841503,1.2240336804134777
1.2108122809082194,1.2122325536728005,1.2103132587110486,1.2122976894328836
1.197992323016573,1.1994144686917139,1.197580645904582,1.199470301709924
1.2091855438381807,1.2106853335131769,1.2087380518088278,1.2107313321227753
1.2197152398375004,1.2212825978063298,1.2192408641080992,1.2213293851540443
1.2321365715063544,1.2336960887655157,1.2316326951129335,1.2337557702587785
1.2193259149929767,1.2208775438205863,1.218844595965372,1.2209269513307917
1.213246450903228,1.2147479686822942,1.2127886707874673,1.214798123240579
1.2114474359999166,1.212988068398726,1.211109287155704,1.2130294819285639
1.2181823861295358,1.2197705651459618,1.2177233736784325,1.219817895837813
1.2208666489723212,1.2224657075132919,1.2204109135439547,1.2225126288792896
1.2066421970649528,1.2081282924662438,1.2061870010781102,1.2081867206056267
1.210887829825316,1.2123891137928229,1.2104359695922045,1.2124478380054822
1.219756278029779,1.2212406002763954,1.2192503509509778,1.2213069856082572
1.219893424037228,1.2213945588186557,1.2193681402400445,1.2214593659584487
1.2268023030273252,1.228372771342054,1.2261566871225997,1.2284458352285466
1.2296993773731646,1.2312834468359508,1.2290666390191072,1.231357445262632
1.2406224003073043,1.242245618634696,1.2399352773338315,1.2423140559033699
1.24637028240447,1.2480046505840883,1.2457358828325755,1.248072588904317
1.2415746527595455,1.2432356834474054,1.2410415848553333,1.2432935116289103
1.2375785361656035,1.2392356039379142,1.2370398705043755,1.2392939359507447
1.228933842596054,1.230580335194784,1.22847522083791,1.2306292035894904
1.2197536428215987,1.2213271044400646,1.2195741797907838,1.2213520561394202
1.2221784559110538,1.223756421932138,1.2219681230598334,1.2237844060256708
1.2119469320682064,1.2135240531146045,1.2117496396464553,1.213555186053318
1.2014382138462674,1.2030131172112297,1.2012780470943438,1.20303386859095
