Group,Model,PV,AR,SR,Sortino,MDD,Calmar
4assets,SB,1.3535,0.1634,0.8055,1.4125,-0.1774,0.9211
4assets,SBA,1.3564,0.1646,0.811,1.4213,-0.1774,0.9278
4assets,SBC,1.3549,0.164,0.8111,1.4213,-0.1764,0.9298
4assets,SBCA,1.3563,0.1646,0.8108,1.4209,-0.1775,0.9275
