Group,Model,PV,AR,SR,Sortino,MDD,Calmar
2assets,SB,1.427,0.1946,0.7966,1.3891,-0.214,0.9094
2assets,SBA,1.439,0.1996,0.8176,1.4222,-0.2084,0.9576
2assets,SBC,1.4388,0.1995,0.8163,1.4215,-0.2084,0.9574
2assets,SBCA,1.4389,0.1996,0.8179,1.4243,-0.2084,0.9578
