Group,Family,Comparison,Metric,block,p_value
2assets,external,SBCA vs MVO,SR,20,0.1172
2assets,external,SBCA vs MVO,Sortino,20,0.0998
2assets,external,SBCA vs MVO,MDD,20,0.0424
2assets,external,SBCA vs MVO,AR,40,0.3421
2assets,external,SBCA vs MVO,SR,40,0.1058
2assets,external,SBCA vs MVO,Sortino,40,0.1
2assets,external,SBCA vs MVO,MDD,40,0.0385
2assets,external,SBCA vs MVO,AR,60,0.3407
2assets,external,SBCA vs MVO,SR,60,0.1009
2assets,external,SBCA vs MVO,Sortino,60,0.1
2assets,external,SBCA vs MVO,MDD,60,0.0382
2assets,external,SBCA vs MVO,AR,120,0.3171
2assets,external,SBCA vs MVO,SR,120,0.0874
2assets,external,SBCA vs MVO,Sortino,120,0.1022
2assets,external,SBCA vs MVO,MDD,120,0.0305
4assets,internal,SBCA vs SB,AR,20,0.0619
4assets,internal,SBCA vs SB,SR,20,0.0456
4assets,internal,SBCA vs SB,Sortino,20,0.0488
4assets,internal,SBCA vs SB,MDD,20,0.5939
4assets,internal,SBCA vs SB,AR,40,0.0812
4assets,internal,SBCA vs SB,SR,40,0.0667
4assets,internal,SBCA vs SB,Sortino,40,0.0732
4assets,internal,SBCA vs SB,MDD,40,0.6254
4assets,internal,SBCA vs SB,AR,60,0.1034
4assets,internal,SBCA vs SB,SR,60,0.0842
4assets,internal,SBCA vs SB,Sortino,60,0.0962
4assets,internal,SBCA vs SB,MDD,60,0.641
4assets,internal,SBCA vs SB,AR,120,0.1478
4assets,internal,SBCA vs SB,SR,120,0.1191
4assets,internal,SBCA vs SB,Sortino,120,0.1402
4assets,internal,SBCA vs SB,MDD,120,0.6301
4assets,internal,SBCA vs SBA,AR,20,0.5665
4assets,internal,SBCA vs SBA,SR,20,0.7291
4assets,internal,SBCA vs SBA,Sortino,20,0.7747
4assets,internal,SBCA vs SBA,MDD,20,0.8493
4assets,internal,SBCA vs SBA,AR,40,0.5862
4assets,internal,SBCA vs SBA,SR,40,0.7445
4assets,internal,SBCA vs SBA,Sortino,40,0.7885
4assets,internal,SBCA vs SBA,MDD,40,0.8714
4assets,internal,SBCA vs SBA,AR,60,0.5763
4assets,internal,SBCA vs SBA,SR,60,0.737
4assets,internal,SBCA vs SBA,Sortino,60,0.7866
4assets,internal,SBCA vs SBA,MDD,60,0.8645
4assets,internal,SBCA vs SBA,AR,120,0.5854
4assets,internal,SBCA vs SBA,SR,120,0.7583
4assets,internal,SBCA vs SBA,Sortino,120,0.8097
4assets,internal,SBCA vs SBA,MDD,120,0.8498
4assets,internal,SBCA vs SBC,AR,20,0.2997
4assets,internal,SBCA vs SBC,SR,20,0.5313
4assets,internal,SBCA vs SBC,Sortino,20,0.5188
4assets,internal,SBCA vs SBC,MDD,20,0.9379
4assets,internal,SBCA vs SBC,AR,40,0.2967
4assets,internal,SBCA vs SBC,SR,40,0.5379
4assets,internal,SBCA vs SBC,Sortino,40,0.5264
4assets,internal,SBCA vs SBC,MDD,40,0.9373
4assets,internal,SBCA vs SBC,AR,60,0.3083
4assets,internal,SBCA vs SBC,SR,60,0.5374
4assets,internal,SBCA vs SBC,Sortino,60,0.5232
4assets,internal,SBCA vs SBC,MDD,60,0.9142
4assets,internal,SBCA vs SBC,AR,120,0.3271
4assets,internal,SBCA vs SBC,SR,120,0.5413
4assets,internal,SBCA vs SBC,Sortino,120,0.524
4assets,internal,SBCA vs SBC,MDD,120,0.8712
4assets,external,SBCA vs Buy & Hold,AR,20,0.0025
4assets,external,SBCA vs Buy & Hold,SR,20,0.0012
4assets,external,SBCA vs Buy & Hold,Sortino,20,0.0022
4assets,external,SBCA vs Buy & Hold,MDD,20,0.0335
4assets,external,SBCA vs Buy & Hold,AR,40,0.0037
4assets,external,SBCA vs Buy & Hold,SR,40,0.0027
4assets,external,SBCA vs Buy & Hold,Sortino,40,0.0031
4assets,external,SBCA vs Buy & Hold,MDD,40,0.0362
4assets,external,SBCA vs Buy & Hold,AR,60,0.0036
4assets,external,SBCA vs Buy & Hold,SR,60,0.0045
4assets,external,SBCA vs Buy & Hold,Sortino,60,0.0052
4assets,external,SBCA vs Buy & Hold,MDD,60,0.0459
4assets,external,SBCA vs Buy & Hold,AR,120,0.0009
4assets,external,SBCA vs Buy & Hold,SR,120,0.0034
4assets,external,SBCA vs Buy & Hold,Sortino,120,0.0034
4assets,external,SBCA vs Buy & Hold,MDD,120,0.081
4assets,external,SBCA vs Equal Weight,AR,20,0.0096
4assets,external,SBCA vs Equal Weight,SR,20,0.0107
4assets,external,SBCA vs Equal Weight,Sortino,20,0.015
4assets,external,SBCA vs Equal Weight,MDD,20,0.1583
4assets,external,SBCA vs Equal Weight,AR,40,0.0064
4assets,external,SBCA vs Equal Weight,SR,40,0.0088
4assets,external,SBCA vs Equal Weight,Sortino,40,0.0121
4assets,external,SBCA vs Equal Weight,MDD,40,0.1656
4assets,external,SBCA vs Equal Weight,AR,60,0.0044
4assets,external,SBCA vs Equal Weight,SR,60,0.0101
4assets,external,SBCA vs Equal Weight,Sortino,60,0.0079
4assets,external,SBCA vs Equal Weight,MDD,60,0.1745
4assets,external,SBCA vs Equal Weight,AR,120,0.0
4assets,external,SBCA vs Equal Weight,SR,120,0.001
4assets,external,SBCA vs Equal Weight,Sortino,120,0.0002
4assets,external,SBCA vs Equal Weight,MDD,120,0.1952
4assets,external,SBCA vs Dow Jones,AR,20,0.4074
4assets,external,SBCA vs Dow Jones,SR,20,0.1132
4assets,external,SBCA vs Dow Jones,Sortino,20,0.1226
4assets,external,SBCA vs Dow Jones,MDD,20,0.0321
4assets,external,SBCA vs Dow Jones,AR,40,0.3782
4assets,external,SBCA vs Dow Jones,SR,40,0.1011
4assets,external,SBCA vs Dow Jones,Sortino,40,0.1139
4assets,external,SBCA vs Dow Jones,MDD,40,0.0187
4assets,external,SBCA vs Dow Jones,AR,60,0.3689
4assets,external,SBCA vs Dow Jones,SR,60,0.0798
4assets,external,SBCA vs Dow Jones,Sortino,60,0.0991
4assets,external,SBCA vs Dow Jones,MDD,60,0.0227
4assets,external,SBCA vs Dow Jones,AR,120,0.3763
4assets,external,SBCA vs Dow Jones,SR,120,0.0316
4assets,external,SBCA vs Dow Jones,Sortino,120,0.0395
4assets,external,SBCA vs Dow Jones,MDD,120,0.0327
4assets,external,SBCA vs MVO,AR,20,0.2261
4assets,external,SBCA vs MVO,SR,20,0.0688
4assets,external,SBCA vs MVO,Sortino,20,0.0734
4assets,external,SBCA vs MVO,MDD,20,0.0303
4assets,external,SBCA vs MVO,AR,40,0.1968
4assets,external,SBCA vs MVO,SR,40,0.0565
4assets,external,SBCA vs MVO,Sortino,40,0.0684
4assets,external,SBCA vs MVO,MDD,40,0.0238
4assets,external,SBCA vs MVO,AR,60,0.2071
4assets,external,SBCA vs MVO,SR,60,0.0435
4assets,external,SBCA vs MVO,Sortino,60,0.0504
4assets,external,SBCA vs MVO,MDD,60,0.0265
4assets,external,SBCA vs MVO,AR,120,0.1688
4assets,external,SBCA vs MVO,SR,120,0.0234
4assets,external,SBCA vs MVO,Sortino,120,0.0273
4assets,external,SBCA vs MVO,MDD,120,0.017
6assets,internal,SBCA vs SB,AR,20,0.6279
6assets,internal,SBCA vs SB,SR,20,0.0908
6assets,internal,SBCA vs SB,Sortino,20,0.468
