SB,SBA,SBC,SBCA
1.0,1.0,1.0,1.0
1.0161369023635258,1.0158546127975612,1.0159181936430965,1.015872061860011
1.0161363617698458,1.0158536271551666,1.015917938504949,1.0158718936653224
1.0705450534135188,1.0704643569071293,1.070450264291449,1.0704209732313186
1.0765335143796886,1.076394887544552,1.0763862583921902,1.0763658794349207
1.081169896190138,1.0809418230107462,1.0809635195322447,1.0809246185609098
1.076473635828783,1.0764111096014335,1.0763984460765865,1.076380615144324
1.081568308751403,1.0818445849601064,1.081789499718304,1.0817656501749524
1.0723427037540347,1.0726217177951598,1.0725548070068824,1.0725427932000013
1.0840887363264713,1.0842361683841382,1.0842101578363192,1.08417050755573
1.0850227141444053,1.0846124473135754,1.0848326315011365,1.0846166416817824
1.1165833761117643,1.1149378848756646,1.1155247034524547,1.115080931289246
1.1196803555800392,1.117598487465454,1.1182516447791955,1.1177906074986428
1.1111751772078238,1.1093278653788707,1.1099856004510753,1.1094840773181411
1.1108266480739095,1.1089976213344672,1.109643590922831,1.1091524956288508
1.106779462673541,1.1045931367552373,1.1049666226654833,1.1048543745324417
1.0948115915257335,1.092805544204383,1.0931080899290029,1.0930177004186301
1.0653448528441212,1.0632008639751727,1.0635096122207346,1.063450598342892
1.075902827181351,1.074166916779798,1.0745620623979617,1.074369017234545
1.0726594245830572,1.0707591304769808,1.0711235273309692,1.070984664155075
1.073977495065254,1.0722213901916593,1.072661896369011,1.0724064031766514
1.0742121455245752,1.072467180821355,1.0728932408215237,1.0726532212604218
1.094011366545936,1.092081686667213,1.0925339104712497,1.0921891206520862
1.0998144126780838,1.0979261950533707,1.0983514526591645,1.0980601842793276
1.1258110857071595,1.124230829274717,1.1247351073103065,1.1244396339102603
1.125804990618329,1.1242307902406412,1.1247275968945818,1.124439517613038
1.1162919953849069,1.1147467701353289,1.1152314072046938,1.1149134008775552
1.1162016662310836,1.114664253531917,1.115147050615486,1.1148305482687257
1.1131518444081931,1.1116132617160328,1.1120668643050742,1.111765784674208
1.1128912066919137,1.1113646990961832,1.111814547737555,1.1115160857920587
1.0954085954353636,1.0940734541134107,1.0944709971913937,1.0941481668715205
1.0979132231464783,1.0965957718253572,1.0969615524535423,1.0966813069819672
1.1190102507221846,1.1174217381370593,1.1179116991115492,1.117431251468586
1.1473626135625319,1.1454418261553452,1.1460206961414716,1.1453291198833364
1.1598918897108823,1.1579502887634732,1.1585805085262362,1.157708804642199
1.1615610418669973,1.1597288556436156,1.1603364750796712,1.1594491957876236
