Group,Model,PV,AR,SR,Sortino,MDD,Calmar
2assets,SB,1.4302,0.1959,0.8013,1.3955,-0.2122,0.9233
2assets,SBA,1.4389,0.1996,0.8171,1.4216,-0.2087,0.9564
2assets,SBC,1.435,0.1979,0.8092,1.4103,-0.2116,0.9354
2assets,SBCA,1.4392,0.1997,0.8184,1.4249,-0.2082,0.9591
