Group,Family,Comparison,Metric,block,p_value
2assets,external,SBCA vs MVO,SR,20,0.1168
2assets,external,SBCA vs MVO,Sortino,20,0.0995
2assets,external,SBCA vs MVO,MDD,20,0.0422
2assets,external,SBCA vs MVO,AR,40,0.3416
2assets,external,SBCA vs MVO,SR,40,0.1054
2assets,external,SBCA vs MVO,Sortino,40,0.0996
2assets,external,SBCA vs MVO,MDD,40,0.0383
2assets,external,SBCA vs MVO,AR,60,0.3402
2assets,external,SBCA vs MVO,SR,60,0.1007
2assets,external,SBCA vs MVO,Sortino,60,0.0997
2assets,external,SBCA vs MVO,MDD,60,0.0382
2assets,external,SBCA vs MVO,AR,120,0.3167
2assets,external,SBCA vs MVO,SR,120,0.0869
2assets,external,SBCA vs MVO,Sortino,120,0.1018
2assets,external,SBCA vs MVO,MDD,120,0.0304
4assets,internal,SBCA vs SB,AR,20,0.0465
4assets,internal,SBCA vs SB,SR,20,0.0245
4assets,internal,SBCA vs SB,Sortino,20,0.0316
4assets,internal,SBCA vs SB,MDD,20,0.5608
4assets,internal,SBCA vs SB,AR,40,0.0575
4assets,internal,SBCA vs SB,SR,40,0.0341
4assets,internal,SBCA vs SB,Sortino,40,0.0433
4assets,internal,SBCA vs SB,MDD,40,0.6029
4assets,internal,SBCA vs SB,AR,60,0.0746
4assets,internal,SBCA vs SB,SR,60,0.041
4assets,internal,SBCA vs SB,Sortino,60,0.0572
4assets,internal,SBCA vs SB,MDD,60,0.6383
4assets,internal,SBCA vs SB,AR,120,0.1103
4assets,internal,SBCA vs SB,SR,120,0.0434
4assets,internal,SBCA vs SB,Sortino,120,0.0768
4assets,internal,SBCA vs SB,MDD,120,0.6348
4assets,internal,SBCA vs SBA,AR,20,0.4946
4assets,internal,SBCA vs SBA,SR,20,0.769
4assets,internal,SBCA vs SBA,Sortino,20,0.7944
4assets,internal,SBCA vs SBA,MDD,20,0.9317
4assets,internal,SBCA vs SBA,AR,40,0.503
4assets,internal,SBCA vs SBA,SR,40,0.8208
4assets,internal,SBCA vs SBA,Sortino,40,0.8424
4assets,internal,SBCA vs SBA,MDD,40,0.9649
4assets,internal,SBCA vs SBA,AR,60,0.5037
4assets,internal,SBCA vs SBA,SR,60,0.8482
4assets,internal,SBCA vs SBA,Sortino,60,0.8663
4assets,internal,SBCA vs SBA,MDD,60,0.9657
4assets,internal,SBCA vs SBA,AR,120,0.4875
4assets,internal,SBCA vs SBA,SR,120,0.9368
4assets,internal,SBCA vs SBA,Sortino,120,0.9661
4assets,internal,SBCA vs SBA,MDD,120,0.9684
4assets,internal,SBCA vs SBC,AR,20,0.109
4assets,internal,SBCA vs SBC,SR,20,0.1356
4assets,internal,SBCA vs SBC,Sortino,20,0.1331
4assets,internal,SBCA vs SBC,MDD,20,0.7923
4assets,internal,SBCA vs SBC,AR,40,0.115
4assets,internal,SBCA vs SBC,SR,40,0.1425
4assets,internal,SBCA vs SBC,Sortino,40,0.1375
4assets,internal,SBCA vs SBC,MDD,40,0.7654
4assets,internal,SBCA vs SBC,AR,60,0.1331
4assets,internal,SBCA vs SBC,SR,60,0.1539
4assets,internal,SBCA vs SBC,Sortino,60,0.1536
4assets,internal,SBCA vs SBC,MDD,60,0.7538
4assets,internal,SBCA vs SBC,AR,120,0.1721
4assets,internal,SBCA vs SBC,SR,120,0.1832
4assets,internal,SBCA vs SBC,Sortino,120,0.1861
4assets,internal,SBCA vs SBC,MDD,120,0.7824
4assets,external,SBCA vs Buy & Hold,AR,20,0.0024
4assets,external,SBCA vs Buy & Hold,SR,20,0.0011
4assets,external,SBCA vs Buy & Hold,Sortino,20,0.0021
