Group,Model,PV,AR,SR,Sortino,MDD,Calmar
4assets,SB,1.3531,0.1632,0.8048,1.4116,-0.1774,0.92
4assets,SBA,1.3564,0.1646,0.8111,1.4215,-0.1774,0.9279
4assets,SBC,1.3516,0.1626,0.8034,1.409,-0.1769,0.919
4assets,SBCA,1.3564,0.1646,0.8108,1.421,-0.1775,0.9274
