stock,orig_split_role,auc_test_old,auc_test_new,acc_test_old,acc_test_new,auc_val_new,auc_train_new
CAT,partial (orig),0.5771639042357274,0.5106507059545734,0.5595567867036011,0.4986149584487535,0.553839995425173,0.6878983605047435
GILD,partial (orig),0.6126641414141414,0.5139772727272728,0.5628140703517588,0.507537688442211,0.5026724804838596,0.757187449535684
GS,partial (orig),0.6515810276679842,0.5031455862977602,0.6328600405679513,0.49898580121703856,0.496294802106336,0.7059641648916176
KO,partial (orig),0.7562189054726368,0.5109697414566512,0.6831460674157304,0.503370786516854,0.4608659292203596,0.7135550949564397
MRK,partial (orig),0.5473533619456367,0.49705293276108725,0.5393013100436681,0.5021834061135371,0.49713166080879084,0.8435985341056863
NVDA,partial (orig),0.49526050420168066,0.5163025210084033,0.4985507246376812,0.5043478260869565,0.5177396133278486,0.9046865510493286
